 Week 1
 Date	Time (ET)	 Away Team	 Home Team
  	4:25 pm 	 Atlanta Falcons 	 Seattle Seahawks
  	4:25 pm 	 Dallas Cowboys 	 Green Bay Packers
  	8:30 pm 	 Indianapolis Colts 	 Houston Texans
 Mon Oct 17 	8:30 pm 	 New York Jets 	 Arizona Cardinals

 Bye: Minnesota, Tampa Bay

  Week 7
 Date	Time (ET)	 Away Team	 Home Team
 Thu Oct 20 	8:25 pm 	 Chicago Bears 	 Green Bay Packers
 Sun Oct 23 	9:30 am 	 New York Giants 	 Los Angeles Rams ¹
  	1:00 pm 	 Baltimore Ravens 	 New York Jets
  	1:00 pm 	 Buffalo Bills 	 Miami Dolphins
  	1:00 pm 	 Cleveland Browns 	 Cincinnati Bengals
  	1:00 pm 	 Indianapolis Colts 	 Tennessee Titans
  	1:00 pm 	 Minnesota Vikings 	 Philadelphia Eagles
  	1:00 pm 	 New Orleans Saints 	 Kansas City Chiefs
  	1:00 pm 	 Oakland Raiders 	 Jacksonville Jaguars
  	1:00 pm 	 Washington Redskins 	 Detroit Lions
  	4:05 pm 	 San Diego Chargers 	 Atlanta Falcons
  	4:05 pm 	 Tampa Bay Buccaneers 	 San Francisco 49ers
  	4:25 pm 	 New England Patriots 	 Pittsburgh Steelers
  	8:30 pm 	 Seattle Seahawks 	 Arizona Cardinals
 Mon Oct 24 	8:30 pm 	 Houston Texans 	 Denver Broncos

 ¹ This game is being played in London, England.

 Bye: Carolina, Dallas

  Week 8
 Date	Time (ET)	 Away Team	 Home Team
 Thu Oct 27 	8:25 pm 	 Jacksonville Jaguars 	 Tennessee Titans
 Sun Oct 30 	9:30 am 	 Washington Redskins 	 Cincinnati Bengals ¹
  	1:00 pm 	 Detroit Lions 	 Houston Texans
  	1:00 pm 	 Green Bay Packers 	 Atlanta Falcons
  	1:00 pm 	 Kansas City Chiefs 	 Indianapolis Colts
  	1:00 pm 	 New England Patriots 	 Buffalo Bills
  	1:00 pm 	 New York Jets 	 Cleveland Browns
  	1:00 pm 	 Oakland Raiders 	 Tampa Bay Buccaneers
  	1:00 pm 	 Seattle Seahawks 	 New Orleans Saints
  	4:05 pm 	 San Diego Chargers 	 Denver Broncos
  	4:25 pm 	 Arizona Cardinals 	 Carolina Panthers
  	8:30 pm 	 Philadelphia Eagles 	 Dallas Cowboys
 Mon Oct 31 	8:30 pm 	 Minnesota Vikings 	 Chicago Bears

 ¹ This game is being played in London, England.

 Bye: Baltimore, Los Angeles, Miami, N.Y. Giants, Pittsburgh, San Francisco

  Week 9
 Date	Time (ET)	 Away Team	 Home Team
 Thu Nov 3 	8:25 pm 	 Atlanta Falcons 	 Tampa Bay Buccaneers
 Sun Nov 6 	1:00 pm 	 Dallas Cowboys 	 Cleveland Browns
  	1:00 pm 	 Detroit Lions 	 Minnesota Vikings
  	1:00 pm 	 Jacksonville Jaguars 	 Kansas City Chiefs
  	1:00 pm 	 New York Jets 	 Miami Dolphins
  	1:00 pm 	 Philadelphia Eagles 	 New York Giants
  	1:00 pm 	 Pittsburgh Steelers 	 Baltimore Ravens
  	4:05 pm 	 Carolina Panthers 	 Los Angeles Rams
  	4:05 pm 	 New Orleans Saints 	 San Francisco 49ers
  	4:25 pm 	 Indianapolis Colts 	 Green Bay Packers
  	4:25 pm 	 Tennessee Titans 	 San Diego Chargers
